trialName,ExecutionTime,Length
0,219,1389098
1,145,1419541
2,76,1388752
3,85,1404261
4,77,1388860
5,76,1391758
6,69,1401456
7,63,1386976
8,52,1383715
9,63,1399556
Averege,92.5,1395397.3
SampleVariance,48.51030818290067,10308.74616091386
