trialName,ExecutionTime,Length
0,26874,5898741
1,26026,5899100
2,26433,5902313
3,26093,5904169
4,25862,5901071
5,27277,5899821
6,27221,5902450
7,26352,5901822
8,26634,5898906
9,25978,5901058
Averege,26475.0,5900945.1
SampleVariance,486.97001961106395,1703.2597240291923
