trialName,ExecutionTime,Length
0,1860,1054330
1,1761,1048907
2,1681,1046575
3,1639,1057325
4,1793,1059105
5,1644,1047960
6,1648,1044046
7,1628,1041246
8,1577,1055631
9,1522,1051257
Averege,1675.3,1050638.2
SampleVariance,96.84425641203586,5600.805956285304
