trialName,ExecutionTime,Length
0,283,597334
1,165,578106
2,186,582547
3,172,594094
4,163,569727
5,168,581166
6,170,593182
7,172,610556
8,163,583252
9,145,583657
Averege,178.7,587362.1
SampleVariance,36.094459408612806,10979.322250940184
